"id_track";"id_marine";"lat";"lon";"speed";"course";"age";"date_add"
"340695";"719";"40,903";"140,789";"60";"129";"377";"2016-07-01 21:34:00"
"340696";"869";"41,0281";"139,683";"119";"234";"421";"2016-07-01 21:34:00"
"340697";"711";"41,0134";"139,656";"119";"234";"413";"2016-07-01 21:34:00"
"340698";"870";"41,1094";"140,828";"124";"214";"1319";"2016-07-01 21:34:00"
"340699";"711";"41,0491";"140,647";"1";"277";"1270";"2016-07-01 21:34:00"
"340700";"871";"41,0698";"139,675";"155";"226";"510";"2016-07-01 21:34:00"
"340701";"872";"41,0977";"139,948";"132";"225";"480";"2016-07-01 21:34:00"
"340702";"779";"41,1002";"140,708";"162";"174";"377";"2016-07-01 21:34:00"
"340703";"873";"41,308";"140,313";"126";"233";"475";"2016-07-01 21:34:00"
"340704";"711";"41,1533";"140,131";"141";"206";"417";"2016-07-01 21:34:00"
"340705";"874";"41,051";"140,046";"87";"36";"480";"2016-07-01 21:34:00"
"340706";"711";"41,1782";"140,171";"97";"38";"417";"2016-07-01 21:34:00"
"340707";"875";"41,1994";"140,043";"132";"48";"354";"2016-07-01 21:34:00"
"340708";"876";"41,2357";"139,795";"134";"143";"358";"2016-07-01 21:34:00"
"340709";"877";"41,2521";"140,705";"151";"177";"354";"2016-07-01 21:34:00"
"340710";"718";"41,2582";"140,342";"0";"0";"355";"2016-07-01 21:34:00"
"340711";"878";"41,3361";"140,331";"151";"231";"390";"2016-07-01 21:34:00"
"340712";"711";"41,3321";"140,324";"147";"229";"388";"2016-07-01 21:34:00"
"340713";"879";"41,4105";"140,375";"111";"237";"379";"2016-07-01 21:34:00"
"340714";"880";"41,4106";"140,451";"141";"60";"353";"2016-07-01 21:34:00"
"340715";"881";"41,4146";"140,514";"101";"234";"359";"2016-07-01 21:34:00"
"340716";"711";"41,4298";"141,461";"0";"0";"492";"2016-07-01 21:34:00"
"340717";"819";"41,4712";"141,371";"118";"157";"454";"2016-07-01 21:34:00"
"340718";"711";"41,4576";"141,379";"118";"158";"451";"2016-07-01 21:34:00"
"340719";"882";"41,4869";"140,607";"123";"54";"1292";"2016-07-01 21:34:00"
"340720";"763";"41,5414";"140,716";"186";"353";"354";"2016-07-01 21:34:00"
"340721";"883";"41,5784";"140,47";"1";"299";"371";"2016-07-01 21:34:00"
"340722";"795";"41,6048";"140,877";"181";"70";"353";"2016-07-01 21:34:00"
"340723";"884";"41,6143";"140,449";"2";"172";"445";"2016-07-01 21:34:00"
"340724";"774";"41,6148";"140,939";"162";"99";"353";"2016-07-01 21:34:00"
"340725";"885";"41,6172";"141,275";"121";"88";"836";"2016-07-01 21:34:00"
"340726";"886";"41,6222";"141,439";"130";"92";"371";"2016-07-01 21:34:00"
"340727";"887";"41,6316";"141,337";"229";"86";"356";"2016-07-01 21:34:00"
"340728";"888";"41,635";"140,986";"92";"310";"353";"2016-07-01 21:34:00"
"340729";"889";"41,6515";"140,968";"113";"270";"354";"2016-07-01 21:34:00"
"340730";"757";"41,6724";"140,676";"157";"357";"353";"2016-07-01 21:34:00"
"340731";"760";"41,6907";"140,723";"171";"327";"354";"2016-07-01 21:34:00"
"340732";"734";"41,6954";"141,181";"141";"29";"390";"2016-07-01 21:34:00"
"340733";"890";"41,7015";"141,186";"127";"77";"356";"2016-07-01 21:34:00"
"340734";"754";"41,7238";"140,664";"130";"193";"353";"2016-07-01 21:34:00"
"340735";"891";"41,7287";"141,32";"189";"248";"1389";"2016-07-01 21:34:00"
"340736";"780";"41,7289";"141,174";"135";"53";"361";"2016-07-01 21:34:00"
"340737";"745";"41,7464";"140,71";"0";"0";"356";"2016-07-01 21:34:00"
"340738";"892";"41,7523";"140,677";"0";"30";"356";"2016-07-01 21:34:00"
"340739";"893";"41,7635";"140,659";"107";"177";"353";"2016-07-01 21:34:00"
"340740";"752";"41,7725";"140,672";"1";"186";"354";"2016-07-01 21:34:00"
"340741";"843";"41,7762";"140,705";"0";"358";"353";"2016-07-01 21:34:00"
"340742";"749";"41,7774";"140,722";"0";"182";"355";"2016-07-01 21:34:00"
"340743";"894";"41,7794";"140,71";"0";"355";"356";"2016-07-01 21:34:00"
"340744";"895";"41,7819";"140,722";"0";"102";"355";"2016-07-01 21:34:00"
"340745";"860";"41,7851";"140,686";"1";"250";"357";"2016-07-01 21:34:00"
"340746";"751";"41,7854";"140,675";"0";"30";"355";"2016-07-01 21:34:00"
"340747";"896";"41,7878";"140,682";"75";"20";"354";"2016-07-01 21:34:00"
"340748";"762";"41,7939";"140,679";"84";"56";"354";"2016-07-01 21:34:00"
"340749";"725";"41,7944";"140,718";"0";"152";"356";"2016-07-01 21:34:00"
"340750";"897";"41,795";"140,723";"0";"0";"354";"2016-07-01 21:34:00"
"340751";"898";"41,7976";"141,258";"125";"20";"369";"2016-07-01 21:34:00"
"340752";"756";"41,8028";"140,652";"4";"340";"356";"2016-07-01 21:34:00"
"340753";"839";"41,8061";"140,649";"0";"219";"355";"2016-07-01 21:34:00"
"340754";"716";"41,8082";"140,694";"124";"252";"354";"2016-07-01 21:34:00"
"340755";"868";"41,9253";"141,157";"123";"156";"353";"2016-07-01 21:34:00"
"340756";"719";"40,903";"140,789";"60";"129";"377";"2016-07-01 21:35:00"
"340757";"869";"41,0281";"139,683";"119";"234";"421";"2016-07-01 21:35:00"
"340758";"711";"41,0134";"139,656";"119";"234";"413";"2016-07-01 21:35:00"
"340759";"870";"41,1094";"140,828";"124";"214";"1319";"2016-07-01 21:35:00"
"340760";"711";"41,0491";"140,647";"1";"277";"1270";"2016-07-01 21:35:00"
