"id_marine";"identifier";"mmsi";"name";"flag";"type";"length";"port";"col11";"col12";"col13";"col14";"col15"
"710";"664088";\N;"KOHO MARU NO.21";"JP";"8";"71";"JP AOM OFF";"12";"58";"3";\N;"0"
"711";"2147483647";\N;"[SAT-AIS]";\N;"8";\N;\N;\N;"58";"3";\N;\N
"712";"193712";\N;"CMA CGM VIRGINIA";"GB";"7";"294";"PANAMA";"32";"223";"20";\N;"0"
"713";"3919105";\N;"FUKUYOSHIMARU NO.1";"JP";"7";"76";"JP MUT";"12";"65";"3";\N;"0"
"714";"662861";\N;"PACIFIC VENUS";"JP";"6";"183";"JP AOM";"25";"48";"13";\N;"0"
"715";"3530736";\N;"AZUMA MARU NO.21";"JP";"0";"105";"JP KIJ OFF";"16";"81";"12";\N;"0"
"716";"661072";\N;"BLUE DOLPHIN";"JP";"6";"136";"JP HKP4>AOM";"22";"46";"4";\N;"0"
"717";"662379";\N;"TOKIWAMARU";"JP";"8";"89";"JP KIJ WR OFF";"13";"67";"10";\N;"-720"
"718";"3087638";\N;"SAR 4310203";"JP";"3";"0";\N;"0";\N;\N;\N;\N
"719";"662948";\N;"TOKUYO MARU NO.7";"JP";"8";"71";"JP> ISW OFF";"12";"53";"8";\N;"0"
"720";"664761";\N;"ASAKAZE NO.5";"JP";"6";"100";"JP HKP3 >JP AOM";"15";"27";"10";\N;"0"
"721";"660678";\N;"NISSHO MARU";"JP";"7";"75";"JP OTR";"12";"50";"7";\N;"0"
"722";"457868";\N;"HANJIN NORFOLK";"PA";"7";"261";"SHANGHAI CHINA";"32";"193";"10";\N;"0"
"723";"664652";\N;"AOBAMARU";"JP";"7";"113";"JP ISW OFF";"17";"90";"13";\N;"0"
"724";"376020";\N;"ATLANTIC HAWK";"BS";"7";"225";"JPOTR";"32";"210";"7";\N;"0"
"725";"660861";\N;"ASAKAZE 21";"JP";"6";"101";"JP HKP/JP AOM";"16";"25";"3";\N;"0"
"726";"662228";\N;"MEIRYU MARU NO.1";"JP";"0";"75";"JP SIRIYA";"12";"66";"3";\N;"-720"
"727";"526372";\N;"FU YUAN YU LENG 15";"CN";"2";"60";"CLASS B";"12";"40";"6";\N;\N
"728";"3494269";\N;"JIN LIN";"BZ";"7";"99";"JP HHE";"16";"80";"8";\N;"0"
"729";"664773";\N;"ESAN 2000";"JP";"6";"110";"JP HKP 4>JP AOM";"17";"30";"13";\N;"0"
"730";"416506";\N;"KEIYO 18";"PA";"7";"79";"KR PUS";"13";"65";"10";\N;"0"
"731";"662560";\N;"SENSHIN MARU";"JP";"7";"76";"CLASS B";"12";"63";"3";\N;"0"
